CID,CID number,Coding Scheme Designator,Code Value,Code Meaning,SNOMED-RT ID,SNOMED URL
CID 9242 Radiotherapy Acquisition Workitem Definition,9242,DCM,121705,"RT Patient Position Acquisition, dual plane kV",,
CID 9242 Radiotherapy Acquisition Workitem Definition,9242,DCM,121706,"RT Patient Position Acquisition, dual plane kV/MV",,
CID 9242 Radiotherapy Acquisition Workitem Definition,9242,DCM,121707,"RT Patient Position Acquisition, CT kV",,
CID 9242 Radiotherapy Acquisition Workitem Definition,9242,DCM,121708,"RT Patient Position Acquisition, CT MV",,
CID 9242 Radiotherapy Acquisition Workitem Definition,9242,DCM,121709,"RT Patient Position Acquisition, Optical",,
CID 9242 Radiotherapy Acquisition Workitem Definition,9242,DCM,121710,"RT Patient Position Acquisition, Ultrasound",,
CID 9242 Radiotherapy Acquisition Workitem Definition,9242,DCM,121711,"RT Patient Position Acquisition, Spatial Fiducials",,
CID 8302 Measurement Pattern Codes,8302,DCM,109843,TG18-UNL10 Pattern,,
CID 8302 Measurement Pattern Codes,8302,DCM,109844,TG18-UNL80 Pattern,,
CID 9000 Physical Quantity Descriptors,9000,SCT,246205007,Quantity,G-C1C6,http://snomed.info/id/246205007
CID 9000 Physical Quantity Descriptors,9000,DCM,121401,Derivation,,
CID 9000 Physical Quantity Descriptors,9000,SCT,370129005,Measurement Method,G-C036,http://snomed.info/id/370129005
CID 8303 Display Device Type,8303,DCM,109991,CRT Display,,
CID 8303 Display Device Type,8303,DCM,109992,Liquid Crystal Display,,
CID 8303 Display Device Type,8303,DCM,109993,Plasma Display,,
CID 8303 Display Device Type,8303,DCM,109994,OLED,,
CID 8303 Display Device Type,8303,DCM,109995,DLP Rear Projection System,,
CID 8303 Display Device Type,8303,DCM,109996,DLP Front Projection System,,
CID 8303 Display Device Type,8303,DCM,109997,CRT Rear Projection System,,
CID 8303 Display Device Type,8303,DCM,109998,CRT Front Projection System,,
CID 9231 Workitem Definition,9231,DCM,110001,Image Processing,,
CID 9231 Workitem Definition,9231,DCM,110002,Quality Control,,
CID 9231 Workitem Definition,9231,DCM,110003,Computer Aided Diagnosis,,
CID 9231 Workitem Definition,9231,DCM,110004,Computer Aided Detection,,
CID 9231 Workitem Definition,9231,DCM,110005,Interpretation,,
CID 9231 Workitem Definition,9231,DCM,110006,Transcription,,
CID 9231 Workitem Definition,9231,DCM,110007,Report Verification,,
CID 9231 Workitem Definition,9231,DCM,128001,Add Addendum to Report,,
CID 9231 Workitem Definition,9231,DCM,110008,Print,,
CID 9231 Workitem Definition,9231,DCM,110009,No subsequent Workitems,,
CID 9000 Physical Quantity Descriptors,9000,SCT,363698007,Finding Site,G-C0E3,http://snomed.info/id/363698007
CID 9000 Physical Quantity Descriptors,9000,DCM,121071,Finding,,
CID 9000 Physical Quantity Descriptors,9000,NCIt,C94970,Reference Region,,
CID 9000 Physical Quantity Descriptors,9000,DCM,113241,Model fitting method,,
CID 9000 Physical Quantity Descriptors,9000,DCM,113240,Source image diffusion b-value,,
CID 9000 Physical Quantity Descriptors,9000,DCM,121050,Equivalent Meaning of Concept Name,,
CID 9231 Workitem Definition,9231,DCM,110013,Media Import,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110500,Doctor canceled procedure,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110501,Equipment failure,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110502,Incorrect procedure ordered,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110503,Patient allergic to media/contrast,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110504,Patient died,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110505,Patient refused to continue procedure,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110506,Patient taken for treatment or surgery,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110507,Patient did not arrive,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110508,Patient pregnant,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110509,Change of procedure for correct charging,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110510,Duplicate order,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110511,Nursing unit cancel,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110512,Incorrect side ordered,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110513,Discontinued for unspecified reason,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110514,Incorrect worklist entry selected,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110515,Patient condition prevented continuing,,
CID 9301 Modality PPS Discontinuation Reasons,9301,DCM,110516,Equipment change,,
CID 9301 Modality PPS Discontinuation Reasons,9301,SCT,95384003,Injection Site Extravasation,D0-B0330,http://snomed.info/id/95384003
CID 9301 Modality PPS Discontinuation Reasons,9301,SCT,292094009,Radiopharmaceutical Adverse Reaction,DF-10780,http://snomed.info/id/292094009
CID 9300 Procedure Discontinuation Reasons,9300,DCM,110526,Resource pre-empted,,
CID 9300 Procedure Discontinuation Reasons,9300,DCM,110527,Resource inadequate,,
CID 9300 Procedure Discontinuation Reasons,9300,DCM,110533,Workitem expired,,
CID 9300 Procedure Discontinuation Reasons,9300,DCM,110528,Discontinued Procedure Step rescheduled,,
CID 9300 Procedure Discontinuation Reasons,9300,DCM,110529,Discontinued Procedure Step rescheduling recommended,,
CID 9300 Procedure Discontinuation Reasons,9300,DCM,110530,Workitem assignment rejected by assigned resource,,
CID 9300 Procedure Discontinuation Reasons,9300,Include CID 9301 “Modality PPS Discontinuation Reasons”,,,,
CID 9300 Procedure Discontinuation Reasons,9300,Include CID 9302 “Media Import PPS Discontinuation Reasons”,,,,
CID 9300 Procedure Discontinuation Reasons,9300,Include CID 60 “Imaging Agent Administration Adverse Events”,,,,
CID 8300 Visual Evaluation Methods,8300,DCM,109701,Overall image quality evaluation,,
CID 8300 Visual Evaluation Methods,8300,DCM,109702,Grayscale resolution evaluation,,
CID 8300 Visual Evaluation Methods,8300,DCM,109703,Luminance response evaluation,,
CID 8300 Visual Evaluation Methods,8300,DCM,109704,Luminance uniformity evaluation,,
CID 8300 Visual Evaluation Methods,8300,DCM,109705,Chromaticity evaluation,,
CID 8300 Visual Evaluation Methods,8300,DCM,109706,Pixel faults evaluation,,
CID 8300 Visual Evaluation Methods,8300,DCM,109707,Veiling glare evaluation,,
CID 8300 Visual Evaluation Methods,8300,DCM,109708,Geometrical image evaluation,,
CID 8300 Visual Evaluation Methods,8300,DCM,109709,Angular viewing evaluation,,
CID 8300 Visual Evaluation Methods,8300,DCM,109710,Clinical evaluation,,
CID 8203 Surface Scan Registration Method Types,8203,DCM,114213,Iterative Closest Point,,
CID 8203 Surface Scan Registration Method Types,8203,DCM,125022,Fiducial Alignment,,
CID 8203 Surface Scan Registration Method Types,8203,DCM,114215,Freehand,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121701,RT Patient Setup,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121722,RT Patient Position Adjustment,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121723,RT Patient Position In-treatment-session Review,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121724,RT Treatment Simulation with Internal Verification,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121725,RT Treatment Simulation with External Verification,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121726,RT Treatment with Internal Verification,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121727,RT Treatment with External Verification,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121728,RT Treatment QA with Internal Verification,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121729,RT Treatment QA with External Verification,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121730,RT Machine QA,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121731,RT Treatment QA by RT Plan Dose Check,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121732,RT Treatment QA by RT Plan Difference Check,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121733,RT Treatment QA by RT Ion Plan Dose Check,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121734,RT Treatment QA by RT Ion Plan Difference Check,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,121735,RT Brachy Treatment,,
CID 9241 Radiotherapy General Workitem Definition,9241,DCM,130444,RT Treatment with Ad Hoc Planning,,
CID 8201 Surface Scan Acquisition Types,8201,DCM,114201,Time of flight,,
CID 8201 Surface Scan Acquisition Types,8201,DCM,114202,Interferometry,,
CID 8201 Surface Scan Acquisition Types,8201,DCM,114203,Laser scanning,,
CID 8201 Surface Scan Acquisition Types,8201,DCM,114204,Pattern projection,,
CID 8201 Surface Scan Acquisition Types,8201,DCM,114205,Shape from shading,,
CID 8201 Surface Scan Acquisition Types,8201,DCM,114206,Shape from motion,,
CID 8201 Surface Scan Acquisition Types,8201,DCM,114207,Confocal imaging,,
CID 8201 Surface Scan Acquisition Types,8201,DCM,114208,Point Cloud Algorithmic,,
CID 8133 Tissue Selection,8133,DCM,112719,Nominal empty tile suppression,,
CID 8133 Tissue Selection,8133,DCM,112720,High threshold empty tile suppression,,
CID 8133 Tissue Selection,8133,DCM,112721,No empty tile suppression,,
CID 8131 Pathology Imaging Protocols,8131,DCM,112700,Peri-operative Photographic Imaging,,
CID 8131 Pathology Imaging Protocols,8131,DCM,112701,Gross Specimen Imaging,,
CID 8131 Pathology Imaging Protocols,8131,DCM,112702,Slide Microscopy,,
CID 8131 Pathology Imaging Protocols,8131,DCM,112703,Whole Slide Imaging,,
CID 8131 Pathology Imaging Protocols,8131,DCM,112704,WSI 20X RGB,,
CID 8131 Pathology Imaging Protocols,8131,DCM,112705,WSI 40X RGB,,
CID 8136 Microscopy Measurement Types,8136,SCT,42798000,Area,G-A166,http://snomed.info/id/42798000
CID 8125 Microscopy Illuminator Type,8125,SCT,445679001,Tungsten halogen lamp,A-00125,http://snomed.info/id/445679001
CID 8125 Microscopy Illuminator Type,8125,SCT,445685008,Mercury arc lamp,A-00127,http://snomed.info/id/445685008
CID 8125 Microscopy Illuminator Type,8125,SCT,445671003,Xenon arc lamp,A-00124,http://snomed.info/id/445671003
CID 8130 Staining Protocols,8130,SCT,127790008,Staining,P3-00003,http://snomed.info/id/127790008
CID 8130 Staining Protocols,8130,SCT,104210008,Hematoxylin and eosin stain method,P3-50495,http://snomed.info/id/104210008
CID 8134 Anatomic Structures,8134,Include CID 4 “Anatomic Region”,,,,
CID 8134 Anatomic Structures,8134,Include CID 644 “Exogenous Substance Administration Sites”,,,,
CID 8134 Anatomic Structures,8134,Include CID 645 “Exogenous Substance Tissue of Origin”,,,,
CID 8125 Microscopy Illuminator Type,8125,SCT,445683001,Light emitting diode,A-00126,http://snomed.info/id/445683001
CID 8125 Microscopy Illuminator Type,8125,SCT,122456005,Laser,A-23000,http://snomed.info/id/122456005
CID 8134 Anatomic Structures,8134,Include CID 1002 “Anatomical Reference Basis - Head”,,,,
CID 8134 Anatomic Structures,8134,Include CID 1004 “Anatomical Reference Basis - Chest”,,,,
CID 8134 Anatomic Structures,8134,Include CID 1005 “Anatomical Reference Basis - Abdomen/Pelvis”,,,,
CID 8134 Anatomic Structures,8134,Include CID 1006 “Anatomical Reference Basis - Extremities”,,,,
CID 8134 Anatomic Structures,8134,Include CID 3010 “Cardiovascular Anatomic Locations”,,,,
CID 8134 Anatomic Structures,8134,Include CID 3011 “Electrophysiology Anatomic Locations”,,,,
CID 8134 Anatomic Structures,8134,Include CID 3015 “Coronary Arteries”,,,,
CID 8134 Anatomic Structures,8134,Include CID 3016 “Major Coronary Arteries”,,,,
CID 8134 Anatomic Structures,8134,Include CID 4028 “Craniofacial Anatomic Regions”,,,,
CID 8134 Anatomic Structures,8134,Include CID 4029 “Dermatology Anatomic Sites”,,,,
CID 8134 Anatomic Structures,8134,Include CID 4209 “Ophthalmic Anatomic Structure Imaged”,,,,
CID 8134 Anatomic Structures,8134,Include CID 4211 “Ophthalmic OCT Anatomic Structure Imaged”,,,,
CID 8134 Anatomic Structures,8134,Include CID 6149 “Mediastinum Anatomy”,,,,
CID 8134 Anatomic Structures,8134,Include CID 6115 “Osseous Anatomy Modifiers”,,,,
CID 8134 Anatomic Structures,8134,Include CID 6116 “Muscular Anatomy”,,,,
CID 8134 Anatomic Structures,8134,Include CID 6117 “Vascular Anatomy”,,,,
CID 8134 Anatomic Structures,8134,Include CID 6129 “Chest Site Involvement”,,,,
CID 8134 Anatomic Structures,8134,Include CID 6204 “Anatomic Non-colon Findings”,,,,
CID 8134 Anatomic Structures,8134,Include CID 6210 “Location in Intestinal Tract”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7152 “Cardiac Structure Segmentation Types”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7153 “CNS Segmentation Types”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7154 “Abdominal Segmentation Types”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7155 “Thoracic Segmentation Types”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7156 “Vascular Segmentation Types”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7160 “Pelvic Organ Segmentation Types”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7167 “Peripheral Nervous System Segmentation Types”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7304 “Implant Target Anatomy”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7483 “Common Anatomic Regions for Animals”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7600 “Lymph Node Anatomic Sites”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7601 “Head and Neck Cancer Anatomic Sites”,,,,
CID 8134 Anatomic Structures,8134,Include CID 7710 “Tractography Anatomic Sites”,,,,
CID 8134 Anatomic Structures,8134,Include CID 12020 “Fetal Biometry Anatomic Sites”,,,,
CID 8134 Anatomic Structures,8134,Include CID 12021 “Fetal Long Bone Anatomic Sites”,,,,
CID 8134 Anatomic Structures,8134,Include CID 12022 “Fetal Cranium Anatomic Sites”,,,,
CID 8134 Anatomic Structures,8134,Include CID 12023 “Pelvis and Uterus Anatomic Sites”,,,,
CID 8202 Surface Scan Mode Types,8202,DCM,114209,Turntable Scan Method,,
CID 8202 Surface Scan Mode Types,8202,DCM,114210,High resolution,,
CID 8202 Surface Scan Mode Types,8202,DCM,114211,Fast mode,,
CID 8202 Surface Scan Mode Types,8202,DCM,114216,Checkerboard,,
CID 8134 Anatomic Structures,8134,Include CID 12103 “Vascular Ultrasound Anatomic Location”,,,,
CID 8134 Anatomic Structures,8134,SCT,14806007,Atlas,T-11610,http://browser.ihtsdotools.org/?perspective=full&conceptId1=14806007
CID 8134 Anatomic Structures,8134,SCT,36582005,Brachial plexus,T-A9090,http://browser.ihtsdotools.org/?perspective=full&conceptId1=36582005
CID 8134 Anatomic Structures,8134,SCT,87644002,Epididymis,T-95000,http://browser.ihtsdotools.org/?perspective=full&conceptId1=87644002
CID 8134 Anatomic Structures,8134,SCT,53342003,Internal nose,T-21300,http://snomed.info/id/53342003
CID 8134 Anatomic Structures,8134,SCT,78067005,Placenta,T-F1100,http://browser.ihtsdotools.org/?perspective=full&conceptId1=78067005
CID 8134 Anatomic Structures,8134,SCT,29870000,Umbilical cord,T-F1800,http://browser.ihtsdotools.org/?perspective=full&conceptId1=29870000
CID 8123 Microscopy Illumination Method,8123,DCM,111741,Transmission illumination,,
CID 8123 Microscopy Illumination Method,8123,DCM,111742,Reflection illumination,,
CID 8123 Microscopy Illumination Method,8123,DCM,111743,Epifluorescence illumination,,
CID 8123 Microscopy Illumination Method,8123,DCM,111744,Brightfield illumination,,
CID 8123 Microscopy Illumination Method,8123,DCM,111745,Darkfield illumination,,
CID 8123 Microscopy Illumination Method,8123,DCM,111746,Oblique illumination,,
CID 8123 Microscopy Illumination Method,8123,DCM,111747,Phase contrast illumination,,
CID 8123 Microscopy Illumination Method,8123,DCM,111748,Differential interference contrast,,
CID 8123 Microscopy Illumination Method,8123,DCM,111749,Total internal reflection fluorescence,,
CID 8121 Microscopy Lens Type,8121,SCT,445621001,High power non-immersion lens,A-0011A,http://snomed.info/id/445621001
CID 8121 Microscopy Lens Type,8121,SCT,445622008,Oil immersion lens,A-0011B,http://snomed.info/id/445622008
CID 8121 Microscopy Lens Type,8121,SCT,445601002,Slide overview lens,A-00118,http://snomed.info/id/445601002
CID 8132 Magnification Selection,8132,DCM,112715,5X,,
CID 8132 Magnification Selection,8132,DCM,112716,10X,,
CID 8132 Magnification Selection,8132,DCM,112717,20X,,
CID 8132 Magnification Selection,8132,DCM,112718,40X,,
CID 8135 Microscopy Annotation Property Types,8135,SCT,4421005,Cell,T-E0000,http://snomed.info/id/4421005
CID 8135 Microscopy Annotation Property Types,8135,SCT,84640000,Nucleus,T-E0100,http://snomed.info/id/84640000
CID 8122 Microscopy Illuminator and Sensor Color,8122,SCT,414298005,Full Spectrum,R-102C0,http://snomed.info/id/414298005
CID 8122 Microscopy Illuminator and Sensor Color,8122,SCT,414497003,Infrared,R-102BE,http://snomed.info/id/414497003
CID 8122 Microscopy Illuminator and Sensor Color,8122,SCT,371240000,Red,G-A11A,http://snomed.info/id/371240000
CID 8122 Microscopy Illuminator and Sensor Color,8122,SCT,371246006,Green,G-A11E,http://snomed.info/id/371246006
CID 8122 Microscopy Illuminator and Sensor Color,8122,SCT,405738005,Blue,G-A12F,http://snomed.info/id/405738005
CID 8122 Microscopy Illuminator and Sensor Color,8122,SCT,415770004,Ultraviolet,R-102BF,http://snomed.info/id/415770004
CID 8115 Specimen Embedding Media,8115,SCT,311731000,Paraffin wax,F-616D8,http://snomed.info/id/311731000
CID 8115 Specimen Embedding Media,8115,SCT,433469005,Tissue freezing medium,F-62232,http://snomed.info/id/433469005
CID 8115 Specimen Embedding Media,8115,SCT,61088005,Plastic,C-2A000,http://snomed.info/id/61088005
CID 8115 Specimen Embedding Media,8115,SCT,10249006,Agar,C-84085,http://snomed.info/id/10249006
CID 8115 Specimen Embedding Media,8115,SCT,65345002,Epoxy resin,C-2A400,http://snomed.info/id/65345002
CID 8115 Specimen Embedding Media,8115,SCT,261712009,Acrylic resin,C-100EA,http://snomed.info/id/261712009
CID 8114 Specimen Fixatives,8114,SCT,434162003,Neutral Buffered Formalin,C-2141C,http://snomed.info/id/434162003
CID 8114 Specimen Fixatives,8114,SCT,433474002,Bouin's fluid,F-62235,http://snomed.info/id/433474002
CID 8114 Specimen Fixatives,8114,SCT,431510009,Formalin,C-2141B,http://snomed.info/id/431510009
CID 8114 Specimen Fixatives,8114,SCT,433338005,Carnoy's fluid,F-62231,http://snomed.info/id/433338005
CID 8114 Specimen Fixatives,8114,SCT,434295000,Formol sublimate,F-62238,http://snomed.info/id/434295000
CID 8114 Specimen Fixatives,8114,SCT,433471005,Helly's fluid,F-62233,http://snomed.info/id/433471005
CID 8114 Specimen Fixatives,8114,SCT,430028007,Michel's medium,F-6220F,http://snomed.info/id/430028007
CID 8114 Specimen Fixatives,8114,SCT,433473008,Zenker's fluid,F-62234,http://snomed.info/id/433473008
CID 8114 Specimen Fixatives,8114,SCT,52836003,Paraformaldehyde,C-21403,http://snomed.info/id/52836003
CID 8114 Specimen Fixatives,8114,SCT,2869004,Acetic acid,C-21624,http://snomed.info/id/2869004
CID 8114 Specimen Fixatives,8114,SCT,259153006,Chloroform,C-20830,http://snomed.info/id/259153006
CID 8114 Specimen Fixatives,8114,SCT,430821002,Chromium trioxide,C-12916,http://snomed.info/id/430821002
CID 8114 Specimen Fixatives,8114,SCT,419442005,Ethanol,C-21047,http://snomed.info/id/419442005
CID 8114 Specimen Fixatives,8114,SCT,111095003,Formaldehyde,C-21402,http://snomed.info/id/111095003
CID 8114 Specimen Fixatives,8114,SCT,11496005,Mercuric chloride,C-13321,http://snomed.info/id/11496005
CID 8114 Specimen Fixatives,8114,SCT,259221006,Methanol,C-2102B,http://snomed.info/id/259221006
CID 8114 Specimen Fixatives,8114,SCT,13931001,Osmium tetroxide,C-15211,http://snomed.info/id/13931001
CID 8114 Specimen Fixatives,8114,SCT,24215009,Picric acid,C-21919,http://snomed.info/id/24215009
CID 8114 Specimen Fixatives,8114,SCT,19893005,Potassium dichromate,C-13518,http://snomed.info/id/19893005
CID 8113 Specimen Preparation Steps,8113,SCT,433455005,Specimen microwave heating,P3-40005,http://snomed.info/id/433455005
CID 8113 Specimen Preparation Steps,8113,SCT,433457002,Specimen steam heating,P3-40009,http://snomed.info/id/433457002
CID 8113 Specimen Preparation Steps,8113,SCT,433456006,Protease digestion of tissue specimen,P3-40006,http://snomed.info/id/433456006
CID 8113 Specimen Preparation Steps,8113,SCT,433470006,Specimen dehydration,P3-4000B,http://snomed.info/id/433470006
CID 8113 Specimen Preparation Steps,8113,SCT,27872000,Specimen freezing,P3-05050,http://snomed.info/id/27872000
CID 8113 Specimen Preparation Steps,8113,SCT,433452008,Specimen clearing,P3-40003,http://snomed.info/id/433452008
CID 8120 Whole Slide Microscopy Image Referenced Image Purposes of Reference,8120,DCM,121311,Localizer,,
CID 8120 Whole Slide Microscopy Image Referenced Image Purposes of Reference,8120,DCM,121350,Same acquisition at lower resolution,,
CID 8120 Whole Slide Microscopy Image Referenced Image Purposes of Reference,8120,DCM,121351,Same acquisition at higher resolution,,
CID 8120 Whole Slide Microscopy Image Referenced Image Purposes of Reference,8120,DCM,121352,Same acquisition at different focal depth,,
CID 8120 Whole Slide Microscopy Image Referenced Image Purposes of Reference,8120,DCM,121353,Same acquisition at different spectral band,,
CID 8120 Whole Slide Microscopy Image Referenced Image Purposes of Reference,8120,DCM,121354,Imaged container label,,
CID 8124 Microscopy Filter,8124,SCT,445465004,Green optical filter,A-010E2,http://snomed.info/id/445465004
CID 8124 Microscopy Filter,8124,SCT,445279009,Red optical filter,A-010DF,http://snomed.info/id/445279009
CID 8124 Microscopy Filter,8124,SCT,445084008,Blue optical filter,A-010DA,http://snomed.info/id/445084008
CID 8124 Microscopy Filter,8124,SCT,445169002,Infrared optical filter,A-010DC,http://snomed.info/id/445169002
CID 8124 Microscopy Filter,8124,SCT,445391002,Polarizing optical filter,A-010E1,http://snomed.info/id/445391002
CID 8124 Microscopy Filter,8124,SCT,445278001,Violet optical filter,A-010DE,http://snomed.info/id/445278001
CID 8124 Microscopy Filter,8124,SCT,445254006,Ultraviolet optical filter,A-010DD,http://snomed.info/id/445254006
CID 8124 Microscopy Filter,8124,SCT,445316008,Dichroic beamsplitter,A-0010F,http://snomed.info/id/445316008
CID 8124 Microscopy Filter,8124,SCT,445635004,Hoffman modulator,A-00121,http://snomed.info/id/445635004
CID 8124 Microscopy Filter,8124,SCT,445624009,Darkfield stop,A-0011D,http://snomed.info/id/445624009
CID 8124 Microscopy Filter,8124,SCT,445623003,Rheinberg filter,A-0011C,http://snomed.info/id/445623003
CID 8124 Microscopy Filter,8124,SCT,445625005,Phase contrast plate,A-0011E,http://snomed.info/id/445625005
CID 8124 Microscopy Filter,8124,SCT,445634000,Condenser annulus,A-00120,http://snomed.info/id/445634000
CID 8124 Microscopy Filter,8124,SCT,445633006,Nomarski prism,A-0011F,http://snomed.info/id/445633006
CID 8124 Microscopy Filter,8124,SCT,445663002,de Sénarmont compensator,A-00123,http://snomed.info/id/445663002
CID 8124 Microscopy Filter,8124,DCM,111609,No filter,,
CID 8104 Breast Tissue Specimen Types,8104,SCT,309548003,breast duct sample,G-8346,http://snomed.info/id/309548003
CID 8104 Breast Tissue Specimen Types,8104,SCT,309059004,frozen section breast sample,G-8339,http://snomed.info/id/309059004
CID 8104 Breast Tissue Specimen Types,8104,SCT,309546004,lumpectomy breast sample,G-833D,http://snomed.info/id/309546004
CID 8104 Breast Tissue Specimen Types,8104,SCT,397199005,specimen from breast obtained by excision,G-8430,http://snomed.info/id/397199005
CID 8104 Breast Tissue Specimen Types,8104,SCT,122595009,specimen from breast obtained by total mastectomy,G-8311,http://snomed.info/id/122595009
CID 8104 Breast Tissue Specimen Types,8104,SCT,309547008,segmentectomy breast sample,G-833F,http://snomed.info/id/309547008
CID 8104 Breast Tissue Specimen Types,8104,SCT,309058007,breast tru-cut biopsy sample,G-832D,http://snomed.info/id/309058007
CID 8104 Breast Tissue Specimen Types,8104,SCT,122737001,specimen from breast obtained by core needle biopsy,G-8318,http://snomed.info/id/122737001
CID 8104 Breast Tissue Specimen Types,8104,SCT,122738006,"specimen from breast, stereotactically guided core needle biopsy",G-8319,http://snomed.info/id/122738006
CID 8104 Breast Tissue Specimen Types,8104,SCT,122739003,specimen from breast by incisional biopsy of breast mass,G-831B,http://snomed.info/id/122739003
CID 8104 Breast Tissue Specimen Types,8104,SCT,373102004,specimen from breast obtained by image guided core biopsy,R-003AC,http://snomed.info/id/373102004
CID 8301 Test Pattern Codes,8301,DCM,109801,TG18-QC Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109802,TG18-BR Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109803,TG18-PQC Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109804,TG18-CT Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109805,TG18-LN8-01 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109806,TG18-LN8-02 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109807,TG18-LN8-03 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109808,TG18-LN8-04 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109809,TG18-LN8-05 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109810,TG18-LN8-06 Pattern,,
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,38266002,Entire body,T-D0010,http://snomed.info/id/38266002
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,309050000,Body substance sample,G-80A5,http://snomed.info/id/309050000
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,309051001,Body fluid sample,G-80A6,http://snomed.info/id/309051001
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,119376003,Tissue specimen,G-8300,http://snomed.info/id/119376003
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,430861001,Gross specimen,G-843A,http://snomed.info/id/430861001
CID 8301 Test Pattern Codes,8301,DCM,109811,TG18-LN8-07 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109812,TG18-LN8-08 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109813,TG18-LN8-09 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109814,TG18-LN8-10 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109815,TG18-LN8-11 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109816,TG18-LN8-12 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109817,TG18-LN8-13 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109818,TG18-LN8-14 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109819,TG18-LN8-15 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109820,TG18-LN8-16 Pattern,,
CID 8301 Test Pattern Codes,8301,DCM,109821,TG18-LN8-17 Pattern,,
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,430856003,Tissue section,G-8439,http://snomed.info/id/430856003
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,430970004,Core sample of tissue block,G-843B,http://snomed.info/id/430970004
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,431196006,Tissue spot,G-843C,http://snomed.info/id/431196006
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,258661006,Slide,G-81EA,http://snomed.info/id/258661006
CID 8103 Anatomic Pathology Specimen Types,8103,SCT,258433009,Smear sample,G-803C,http://snomed.info/id/258433009
