SCT,SRT,SNOMED Fully Specified Name
58190003,F-39200,"Vascular flow, function (observable entity)"
58264006,L-80440,Pinto (organism)
58281002,C-17800,Gadolinium (substance)
58311005,L-80604,Dutch landrace pig (organism)
58322009,F-20020,Expiration (observable entity)
58341007,L-80753,Rough and smooth collie (organism)
58541008,C-155A2,^24^Sodium (substance)
58602004,T-D2310,Flank structure (body structure)
58631000,C-22839,Eriochrome blue black SE stain (substance)
58646007,T-54740,Structure of deciduous mandibular right first molar tooth (body structure)
58718002,D3-17100,Rheumatic fever (disorder)
58742003,T-12980,Structure of sesamoid bone of foot (body structure)
58755002,C-22954,Water soluble anthracene brown stain (substance)
58888001,L-80887,Parti-color cocker spaniel (organism)
59011009,T-45800,Structure of basilar artery (body structure)
59057006,C-A7021,Antihemophilic factor preparation (product)
59066005,T-11133,Mastoid structure (body structure)
59082006,C-A7430,Urokinase (substance)
59112000,T-02508,Skin structure of anus (body structure)
59118001,D3-33110,Right bundle branch block (disorder)
59135002,G-A328,Encapsulated (qualifier value)
59210004,L-80335,Navajo sheep (organism)
59214008,P1-48830,Reduction mammoplasty (procedure)
59218006,P2-35440,Temporary transcutaneous pacing (procedure)
59282003,D3-40230,Pulmonary embolism (disorder)
59351004,F-61080,Citrate (substance)
59438005,T-43110,Structure of anterior descending branch of left coronary artery (body structure)
59441001,T-C4000,Structure of lymph node (body structure)
59492009,L-80774,Longhaired standard dachshund (organism)
59503006,T-C4160,Structure of submandibular lymph node (body structure)
59528003,L-80849,Saluki dog (organism)
59643008,L-807B1,French bulldog (organism)
59652004,T-32100,Atrial structure (body structure)
59667000,L-80572,FHC elite pig 2 (organism)
59749000,T-45410,Structure of lacrimal artery (body structure)
59752008,T-A7081,Dorsal funiculus structure (body structure)
59801003,C-16700,Rhodium (substance)
59820001,T-40000,Blood vessel structure (body structure)
59844004,C-135A2,^42^Potassium (substance)
59972007,F-32030,"Atrial systole, function (observable entity)"
59975009,L-807A5,English foxhound (organism)
60001007,F-81890,Not pregnant (finding)
60005003,T-14110,Pectoralis major muscle structure (body structure)
60028002,T-49010,Structure of uterine vein (body structure)
60046008,D2-80100,Pleural effusion (disorder)
60057003,C-138A9,^201^Thallium (substance)
60074003,F-10120,"Abduction, function (observable entity)"
60105000,T-A2781,Structure of tapetum of corpus callosum (body structure)
60113004,DA-76000,Disorder of eyelid (disorder)
60132005,G-A366,Generalized (qualifier value)
60176003,T-45540,Structure of anterior cerebral artery (body structure)
60184004,T-59470,Sigmoid colon structure (body structure)
60213007,G-D107,Intramedullary route (qualifier value)
60227002,T-C4614,Subaortic common iliac lymph node (body structure)
60234000,D3-29022,Aortic valve regurgitation (disorder)
60252000,L-80836,Pug dog (organism)
60441008,C-22853,Trypan blue stain (substance)
60459006,C-B1124,Iron Fe^59^ labeled dextran (substance)
60496002,T-02850,Skin structure of foot (body structure)
60517007,L-80911,Cardigan Welsh corgi (organism)
60533005,C-A7001,Astringent drug (product)
60573004,D3-29021,Aortic valve stenosis (disorder)
60583000,G-A120,Postaxial (qualifier value)
60614009,S-10161,Natural brother (person)
60621009,F-01860,Body mass index (observable entity)
60732002,D4-31310,"Atrial septal defect with endocardial cushion defect, partial type (disorder)"
60734001,T-49530,Great saphenous vein structure (body structure)
60739006,C-22957,Waxoline blue stain (substance)
60797005,F-32050,"Cardiac wall motion, function (observable entity)"
60819002,T-D1206,Cheek structure (body structure)
60835009,T-42350,Structure of postductal region of aortic arch (body structure)
60911003,T-11130,Temporal bone structure (body structure)
60920007,C-22902,Fuchsin acid stain (substance)
60944009,T-02501,Skin structure of external genitalia (body structure)
60958006,L-80620,Maryland pig (organism)
60965003,T-C4670,Structure of epigastric lymph node (body structure)
60996007,T-C4002,Structure of deep lymph node (body structure)
61005006,T-A0610,Peripheral nerve myelin sheath (cell structure)
61026006,G-F213,G3 grade (finding)
61036003,L-80533,Boar power pig 545 (organism)
61068006,C-22926,Thioflavine T stain (substance)
61083001,L-80630,Minnesota pig (organism)
61088005,C-2A000,Plastic (substance)
61242005,T-AA813,Lateral canthus structure (body structure)
61248009,T-02811,Skin structure of anterior surface of thigh (body structure)
61286000,L-80835,Pudelpointer (organism)
61320006,L-80896,Tahltan bear dog (organism)
61397002,G-A172,Subcapsular (qualifier value)
61405001,L-80864,Scottish terrier (organism)
61420007,PA-00620,Tube feeding of patient (regime/therapy)
61490001,D3-12001,"Angina, class I (disorder)"
61492009,T-C4440,Structure of hepatic lymph node (body structure)
61593002,P5-B0700,Ultrasonic guidance procedure (procedure)
61671002,T-11134,Structure of internal acoustic meatus of temporal bone (body structure)
61685007,T-D9000,Lower limb structure (body structure)
61695000,T-1A180,Tunica media vasorum (body structure)
61716009,C-173A5,^81m^Krypton (substance)
61719002,T-02107,Skin of vertex (body structure)
61746007,PA-00500,Taking patient vital signs (procedure)
61753003,L-80A51,Colorpoint shorthaired cat (organism)
61773008,C-80401,Lidocaine hydrochloride (substance)
61853006,T-1151F,Spinal canal structure (body structure)
61868007,T-54750,Structure of deciduous mandibular right second molar tooth (body structure)
61897005,T-54320,Structure of maxillary left first premolar tooth (body structure)
61946003,C-A0900,Estrogenic preparation (product)
61959006,D4-31400,Common truncus arteriosus (disorder)
61962009,T-A5100,Midbrain structure (body structure)
61968008,A-10150,"Syringe, device (physical object)"
61973002,L-80565,Dekalb hybrid pig line 61 (organism)
62026008,D3-33150,Left posterior fascicular block (disorder)
62064005,M-90503,"Mesothelioma, malignant (morphologic abnormality)"
62067003,D4-31A00,Hypoplastic left heart syndrome (disorder)
62137007,L-80845,Labrador retriever (organism)
62153005,L-80112,Blonde d'Aquitaine (organism)
62189002,M-52103,Ulcerated atheromatous plaque (morphologic abnormality)
62228004,L-80888,English Springer spaniel (organism)
62296006,S-10116,Natural grandfather (person)
62372003,G-A137,Segmental (qualifier value)
62413002,T-12420,Bone structure of radius (body structure)
62442005,C-B0316,Chloriodized oil (substance)
62482003,G-A374,Low (qualifier value)
62517004,C-B1011,Sodium chromate Cr^51^ (substance)
62555009,T-15317,Structure of atlantoaxial joint (body structure)
62683002,T-C4360,Mediastinal lymph node structure (body structure)
62736007,T-AA830,Lower eyelid structure (body structure)
62790004,L-80807,Norfolk terrier (organism)
62818001,T-B1100,Adenohypophysis structure (body structure)
62824007,G-A117,Transverse (qualifier value)
62834003,T-50110,Upper gastrointestinal tract structure (body structure)
62869001,T-48286,Structure of central vein of the retina (body structure)
62872008,T-A2980,Structure of anterior commissure (body structure)
63029009,T-02506,Skin structure of gluteal fold (body structure)
63130001,M-78280,Surgical scar (morphologic abnormality)
63161005,G-A332,Principal (qualifier value)
63264007,M-89803,Carcinosarcoma (morphologic abnormality)
63269002,L-80761,American coonhound (organism)
63289001,A-12020,"Surgical metal nail, device (physical object)"
63360001,C-168A4,^89^Zirconium (substance)
63390008,L-80834,Portuguese water dog (organism)
63467002,D3-33120,Left bundle branch block (disorder)
63476009,P3-67350,Prostate specific antigen measurement (procedure)
63507001,T-48930,Structure of external iliac vein (body structure)
63562005,A-12210,"Cervical collar, device (physical object)"
63634009,M-94403,"Glioblastoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
63697000,P1-36858,Cardiopulmonary bypass operation (procedure)
63754004,C-16200,Yttrium (substance)
63762007,T-04080,Both breasts (body structure)
63929007,C-22905,Alkali blue 6B stain (substance)
63972001,L-80A32,Ocicat (organism)
64033007,T-71000,Kidney structure (body structure)
64038003,T-C4370,Intercostal lymph node (body structure)
64112001,C-22878,Fast blue RR salt stain (substance)
64131007,T-48710,Inferior vena cava structure (body structure)
64158000,L-80208,Angora goat (organism)
64234005,T-12730,Bone structure of patella (body structure)
64318009,P5-00032,"Diagnostic radiography, stereotactic localization (procedure)"
64468002,T-46310,Structure of bronchial artery (body structure)
64488003,C-B1100,Iodinated I^125^ human serum albumin (substance)
64520006,C-A6710,Protamine sulfate (substance)
64556009,T-C4612,Structure of intermediate common iliac lymph node (body structure)
64572001,DF-00000,Disease (disorder)
64591001,L-80323,Karakul sheep (organism)
64605006,T-1274B,Bone structure of distal tibia (body structure)
64634000,DA-75300,Corneal opacity (disorder)
64658001,T-14166,Structure of subcostal muscle (body structure)
64688005,T-11BF0,Bone structure of coccyx (body structure)
64715009,D3-02500,Hypertensive heart disease (disorder)
64730000,F-33300,Normal sinus rhythm (finding)
64739004,T-93000,Seminal vesicle structure (body structure)
64779008,DC-60000,Blood coagulation disorder (disorder)
64957009,G-A648,Uncertain (qualifier value)
64991008,C-22975,Soluble berlin blue stain (substance)
65054007,C-141A1,^62^Zinc (substance)
65123005,F-61620,Choline (substance)
65124004,M-02570,Swelling (finding)
65187008,L-80307,Black faced Highland sheep (organism)
65197004,T-35310,Structure of anulus fibrosus of mitral orifice (body structure)
65216001,T-A1000,Cerebrospinal fluid (substance)
65240009,P1-86E70,Obstetrical version (procedure)
65266007,T-C4820,Structure of deep inguinal lymph node (body structure)
65344003,L-80150,Marchigiana cattle breed (organism)
65345002,C-2A400,Epoxy resin (substance)
65349008,T-C4620,Structure of external iliac lymph node (body structure)
65355003,T-45110,Right common carotid artery structure (body structure)
65388005,P5-B8310,Ultrasonic guidance for amniocentesis (procedure)
65431007,T-AA260,Structure of corneal endothelium (body structure)
65445001,C-22897,Ethyl violet stain (substance)
65492002,L-80326,Lincoln sheep (organism)
65577000,A-2C152,"X-ray shield, device (physical object)"
65580004,C-22953,Alizarin red S stain (substance)
65624003,T-54620,Structure of deciduous maxillary right lateral incisor tooth (body structure)
65656005,S-10121,Natural mother (person)
65659003,P1-30351,Atherectomy by rotary cutter (procedure)
65690001,T-C4340,Structure of paratracheal lymph node (body structure)
65692009,M-80323,Spindle cell carcinoma (morphologic abnormality)
65694005,L-80A55,Siamese cat (organism)
65709003,G-A324,Disseminated (qualifier value)
65730007,C-22829,Ponceau 3R stain (substance)
65801008,P1-03000,Excision (procedure)
65818007,A-25500,"Stent, device (physical object)"
65877006,M-90100,"Fibroadenoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
66019005,T-D0300,Limb structure (body structure)
66130006,F-32330,Left to right cardiovascular shunt (finding)
66168008,L-80425,Hanoverian horse (organism)
66288003,T-02414,Skin structure of infraclavicular region (body structure)
66303006,T-54350,Structure of maxillary left second molar tooth (body structure)
66314009,L-80147,Longhorn cattle breed (organism)
66377006,P5-D0042,"Radionuclide localization of tumor, limited area (procedure)"
66459002,G-A103,Unilateral (qualifier value)
66495005,L-80738,Cavalier King Charles spaniel (organism)
66559000,T-46421,Structure of common hepatic artery (body structure)
66562002,C-F3302,Cigarette smoking tobacco (substance)
66643007,T-02450,Skin structure of back (body structure)
66657009,D3-31710,Paroxysmal ventricular tachycardia (disorder)
66712005,L-80727,Bouvier des Flandres (organism)
66720007,T-A1650,Lateral ventricle structure (body structure)
66739002,G-D001,Abdominal approach (qualifier value)
66754008,T-59200,Appendix structure (body structure)
66787007,G-A107,Cephalic (qualifier value)
66857006,F-24210,Hemoptysis (disorder)
66859009,C-81590,Dipyridamole (product)
66911005,L-80130,Galloway cattle breed (organism)
66925006,C-12700,Copper (substance)
66934001,T-02152,Skin structure of lower lip (body structure)
67046006,T-AA621,Structure of fovea centralis (body structure)
67088002,L-80782,English toy spaniel (organism)
67170007,T-41100,Lumen of artery (body structure)
67338003,P1-31612,"Cardiac catheterization, left heart, transseptal (procedure)"
67362008,D3-83300,Aortic aneurysm (disorder)
67414001,L-80311,Cotswold sheep (organism)
67440007,C-80131,Alpha-adrenergic blocking agent (product)
67448000,L-80133,German Fleck-Vieh cattle breed (organism)
67453005,T-12780,Bone structure of talus (body structure)
67507000,C-80110,Antiarrhythmic drug (product)
67515002,L-80310,Corriedale sheep (organism)
67617000,M-72170,Intraductal hyperplasia (morphologic abnormality)
67629009,P1-31604,Catheterization of left heart (procedure)
67684001,L-80813,Pekingese dog (organism)
67690002,C-B1081,Sodium iodide I^123^ (substance)
67701001,T-A6640,Inferior cerebellar peduncle structure (body structure)
67720004,L-80575,FHC elite pig 5 (organism)
67763001,D3-04001,Hypotensive episode (disorder)
67834006,T-54710,Structure of deciduous mandibular right central incisor tooth (body structure)
67937003,T-47100,Structure of axillary artery (body structure)
67941004,T-C4331,Structure of superior tracheobronchial lymph node (body structure)
67956008,C-22928,Neutral red stain (substance)
67966000,A-26440,"Enema tube, device (physical object)"
67977006,L-80883,Clumber spaniel (organism)
68053000,T-47700,Structure of anterior tibial artery (body structure)
68085002,T-54210,Structure of maxillary right third molar tooth (body structure)
68086001,L-80A33,Persian cat (organism)
68171009,T-C4710,Axillary lymph node structure (body structure)
68183006,A-12030,"Bone screw, device (physical object)"
68235000,F-24442,Nasal congestion (finding)
68237008,D4-33622,Partial anomalous pulmonary venous connection (disorder)
68263003,C-22804,Janus green B stain (substance)
68276009,A-27500,"Bottle, device (physical object)"
68300000,T-32210,Structure of right auricular appendage (body structure)
68339009,T-C4144,Superficial intraparotid lymph node (body structure)
68367000,T-D9100,Thigh structure (body structure)
68453008,M-80103,"Carcinoma, no subtype (morphologic abnormality)"
68457009,P5-31500,Percutaneous transluminal balloon angioplasty (procedure)
68459007,C-22833,Crystal ponceau stain (substance)
68493006,G-A169,Gutter (qualifier value)
68496003,D5-41170,Polyp of colon (disorder)
68505006,T-D4140,Structure of left lower quadrant of abdomen (body structure)
68512002,L-80526,Boar power pig 141 (organism)
68523003,T-A2030,Cerebral white matter structure (body structure)
68552000,L-80200,Caprine species (organism)
68580003,C-130A3,^59^Iron (substance)
68598004,T-02142,Skin structure of ala nasi (body structure)
68630002,C-114A6,^125^Iodine (substance)
68698007,T-02104,Skin structure of forehead (body structure)
68703001,T-AA310,Choroidal structure (body structure)
68705008,T-49110,Structure of axillary vein (body structure)
68787002,T-43111,Structure of proximal portion of anterior descending branch of left coronary artery (body structure)
68796002,P5-D1000,Radioisotope study of musculoskeletal system (procedure)
68878000,T-C4442,Structure of lymph node of epiploic foramen (body structure)
68881005,T-C4513,Structure of superior rectal lymph node (body structure)
68915008,T-C4210,Structure of lateral cervical lymph node (body structure)
68967007,C-B1087,Iodocholesterol I^131^ (substance)
68978004,F-25040,Hyperventilation (finding)
69067004,L-80452,Shetland pony (organism)
69076006,C-B1180,Strontium chloride Sr^85^ (substance)
69089000,C-130A1,^52^Iron (substance)
69105007,T-45010,Carotid artery structure (body structure)
69133007,C-22862,Sudan IV stain (substance)
69158002,P2-35200,Intra-atrial pacing (procedure)
69245005,P1-05035,Intra-arterial infusion of thrombolytic agent (procedure)
69249004,L-80903,Weimaraner (organism)
69255009,T-C4630,Structure of hypogastric lymph node (body structure)
69327007,T-46200,Structure of internal thoracic artery (body structure)
69408002,D4-01046,Gorlin syndrome (disorder)
69421009,T-46423,Structure of right branch of hepatic artery (body structure)
69461005,L-80553,Chester white pig (organism)
69474004,L-80850,Samoyed dog (organism)
69529009,L-80724,Border terrier (organism)
69536005,T-D1100,Head structure (body structure)
69592005,L-80863,Standard schnauzer (organism)
69602006,L-80590,Kleen leen pig (organism)
69691007,T-C4750,Structure of pectoral axillary lymph node (body structure)
69695003,T-57000,Stomach structure (body structure)
69748006,T-B6000,Thyroid structure (body structure)
69783005,C-B0324,Meglumine iodipamide (substance)
69805005,A-28040,"Insulin pump, device (physical object)"
69833005,T-47410,Structure of right femoral artery (body structure)
69839009,C-B1096,Iodinated I^125^ povidone (substance)
69855002,L-80A06,American shorthair cat (organism)
69862006,L-80775,Smooth standard dachshund (organism)
69930009,T-65010,Pancreatic duct structure (body structure)
69954004,D3-87780,Thrombophlebitis of breast (disorder)
69986009,L-80700,Canine species (organism)
70007007,T-A5160,Substantia nigra structure (body structure)
70074004,T-26100,Right main bronchus structure (body structure)
70105001,T-A2880,Structure of optic radiation (body structure)
70106000,F-63600,Lipid (substance)
70142008,D4-31220,Atrial septal defect (disorder)
70150004,T-60650,Bile (substance)
70154008,C-B1099,Iodinated I^125^ sodium iodine (substance)
70215001,T-A2730,Structure of genu of corpus callosum (body structure)
70232002,G-7154,Frequent (qualifier value)
70238003,T-32640,Structure of inflow tract of left ventricle (body structure)
70253006,T-48814,Structure of left main branch of portal vein (body structure)
70258002,T-15750,Ankle joint structure (body structure)
70382005,T-45900,Structure of posterior cerebral artery (body structure)
70431006,L-80205,Alpine goat (organism)
70457009,L-80428,Icelandic horse (organism)
70520000,C-22828,Ponceau xylidine stain (substance)
70544003,C-146B1,^199^Gold (substance)
70559009,T-02632,Skin structure of anterior surface of forearm (body structure)
70594002,M-87303,Amelanotic melanoma (morphologic abnormality)
70653001,L-80A11,British shorthaired cat (organism)
70762009,T-02100,Skin structure of head (body structure)
70791007,T-47040,Structure of artery of lower extremity (body structure)
70822001,F-32070,"Cardiac ejection fraction, function (observable entity)"
70847004,T-F1300,Structure of amnion (body structure)
70887009,T-02652,Skin structure of palmar area of hand (body structure)
70925003,T-11170,Bone structure of maxilla (body structure)
70984001,M-32260,Serpentine aneurysm (morphologic abnormality)
70995007,D3-40300,Pulmonary hypertension (disorder)
71128006,C-15000,Molybdenum (substance)
71133005,T-62023,Structure of caudate lobe of liver (body structure)
71173004,M-01460,Compression (morphologic abnormality)
71175006,L-80736,Bullmastiff (organism)
71232009,M-90201,"Phyllodes tumor, borderline (morphologic abnormality)"
71252005,T-83200,Cervix uteri structure (body structure)
71271007,T-48411,Structure of coronary sinus ostium (body structure)
71341001,T-12710,Bone structure of femur (body structure)
71384000,A-17450,"Warmer, device (physical object)"
71388002,P0-00000,Procedure (procedure)
71400007,T-1A120,Mesothelium structure (body structure)
71425003,C-127A1,^61^Copper (substance)
71553001,T-75110,Prostatic urethra structure (body structure)
71585003,T-48160,Structure of external jugular vein (body structure)
71616004,T-13001,Skeletal and/or smooth muscle structure (body structure)
71633006,C-155A1,^22^Sodium (substance)
71636003,C-B1082,Fibrinogen I^123^ (substance)
71647005,C-105A2,^14^Carbon (substance)
71651007,P5-40010,Mammography (procedure)
71758008,T-49640,Structure of peroneal vein (body structure)
71759000,C-81560,Nitroglycerin (product)
71836000,T-23000,Nasopharyngeal structure (body structure)
71854001,T-59300,Colon structure (body structure)
71908006,D3-31720,Ventricular fibrillation (disorder)
71923001,L-80607,Italian landrace pig (organism)
71957009,C-22922,Phloxin B stain (substance)
71966008,T-03000,Subcutaneous tissue structure (body structure)
72001000,T-12700,Bone structure of lower limb (body structure)
72005009,T-02432,Skin structure of areola (body structure)
72015003,C-B1084,Iodinated I^125^ albumin (substance)
72021004,T-45210,Structure of superior thyroid artery (body structure)
72092001,D3-81100,Arteriosclerotic vascular disease (disorder)
72107004,T-48340,Structure of azygous vein (body structure)
72159005,C-B1023,Cyanocobalamin Co^60^ (substance)
72164009,F-61A90,Inositol (substance)
72166006,M-52300,Fibroelastosis (morphologic abnormality)
72184008,T-11303,Structure of neck of rib (body structure)
72329005,L-80322,Finnish landrace sheep (organism)
72371006,C-22879,Fast violet B salt stain (substance)
72394007,L-80412,American tunis horse (organism)
72410000,T-D3300,Mediastinal structure (body structure)
72454006,C-163A8,^99m^Technetium (substance)
72481006,T-28300,Structure of middle lobe of right lung (body structure)
72495009,M-84803,Mucinous adenocarcinoma (morphologic abnormality)
72506001,A-11206,"Implantable defibrillator, device (physical object)"
72542009,T-32632,Structure of myocardium of diaphragmatic region (body structure)
72572003,C-22826,Diamond black stain (substance)
72573008,T-13620,Infraspinatus muscle structure (body structure)
72592005,T-59442,Structure of left colic flexure (body structure)
72607000,G-D108,Intrathecal route (qualifier value)
72641008,P1-C0B00,Administration of sedative (procedure)
72648002,L-80348,Suffolk sheep (organism)
72674008,T-280D0,Bronchopulmonary segment structure (body structure)
72696002,T-D9200,Knee region structure (body structure)
72717003,C-14800,Magnesium (substance)
72876007,T-54310,Structure of maxillary left canine tooth (body structure)
72939005,T-02613,Skin structure of posterior surface of upper arm (body structure)
73002000,P2-36102,Measurement of systemic arterial pressure (regime/therapy)
73005003,L-80578,FHC elite pig 8 (organism)
73049001,L-80A44,Scottish fold cat (organism)
73050001,T-32634,Structure of myocardium of anterolateral region (body structure)
73056007,T-04020,Right breast structure (body structure)
73058008,T-02520,Skin of structure of labium pudendum (body structure)
73065000,C-B1041,Gallium^67^ citrate (substance)
73117003,T-11150,Sphenoid bone structure (body structure)
73166001,T-42580,Structure of aortic bifurcation (body structure)
73191001,L-80331,American merino sheep (organism)
73212002,C-B0318,Iodipamide (product)
73219006,M-88610,Angiolipoma (morphologic abnormality)
73251007,C-22A02,Auramine G stain (substance)
73271003,L-80A19,Domestic leopard cat (organism)
73318001,L-80820,Pointer (organism)
73319009,L-80760,Coonhound (organism)
73400003,T-11513,Structure of transverse process of vertebra (body structure)
73544002,P1-32000,Operation on heart valve (procedure)
73580002,T-48430,Structure of middle cardiac vein (body structure)
73634005,T-46710,Common iliac artery structure (body structure)
73648005,L-80661,Wessex saddleback pig (organism)
73678001,S-10151,Natural sister (person)
73685002,C-B1231,Thallous chloride Tl^201^ (substance)
73774007,D3-28102,Subacute bacterial endocarditis (disorder)
73829009,T-32200,Right atrial structure (body structure)
73892005,C-22971,Carmine stain (substance)
73897004,T-02120,Skin structure of face (body structure)
73930003,T-14150,Structure of levator costae muscle (body structure)
73931004,T-48813,Structure of right main branch of portal vein (body structure)
73937000,T-54680,Structure of deciduous maxillary left canine tooth (body structure)
73949004,C-67770,Atropine (product)
73958006,T-02814,Skin structure of medial surface of thigh (body structure)
74021003,D3-33200,Bifascicular block (disorder)
74031005,T-32832,Left bundle branch structure (body structure)
74135004,T-15009,Meniscus structure of joint (body structure)
74156002,T-47660,Structure of medial plantar artery (body structure)
74160004,T-02424,Skin structure of chest (body structure)
74173000,L-80847,Rhodesian ridgeback dog (organism)
74203007,T-C4260,Structure of prelaryngeal lymph node (body structure)
74262004,T-51004,Oral cavity structure (body structure)
74280008,M-83153,Glycogen-rich carcinoma (morphologic abnormality)
74308000,T-93010,Structure of right seminal vesicle (body structure)
74344005,T-54370,Structure of mandibular left third molar tooth (body structure)
74364000,M-80413,Small cell carcinoma (morphologic abnormality)
74386004,T-11149,Nasal bone structure (body structure)
74517004,L-80640,Montana pig (organism)
74536009,L-80716,Belgian groenendael dog (organism)
74551000,M-02560,Circumference (qualifier value)
74554008,C-B0341,Iodophthalein (substance)
74568001,L-80656,Red wattle pig (organism)
74615001,D3-31121,Tachycardia-bradycardia (disorder)
74626007,C-50013,Drug diluent (product)
74670003,T-15460,Wrist joint structure (body structure)
74745008,L-80207,Rock alpine goat (organism)
74872008,T-11110,Frontal bone structure (body structure)
74899005,L-80520,Boar power pig (organism)
74921000,L-80560,Dekalb hybrid pig line (organism)
74937006,M-52102,Complicated atheromatous plaque (morphologic abnormality)
74947009,C-10080,Gaseous substance (substance)
74968005,T-A1630,Structure of cavum septi pellucidi (body structure)
74970001,L-80527,Boar power pig 161 (organism)
75040000,T-C4143,Deep intraparotid lymph node (body structure)
75042008,T-A1220,Arachnoid structure (body structure)
75053002,D3-81660,Acute febrile mucocutaneous lymph node syndrome (disorder)
75093004,T-02480,Skin structure of abdomen (body structure)
75118006,PA-00600,Feeding patient (regime/therapy)
75129005,T-1242B,Bone structure of distal radius (body structure)
75245000,T-26500,Left main bronchus structure (body structure)
75294000,G-A600,Descending (qualifier value)
75319007,T-11219,Structure of clavicular notch of sternum (body structure)
75367002,F-31000,Blood pressure (observable entity)
75397005,T-42340,Structure of preductal region of aortic arch (body structure)
75494002,L-807C6,Irish terrier (organism)
75531005,T-47020,Structure of artery of upper extremity (body structure)
75540009,G-A373,High (qualifier value)
75573002,T-C5100,Tonsillar structure (palatine) (body structure)
75696008,C-166A2,^45^Titanium (substance)
75709004,L-80650,Pic pig (organism)
75753009,M-35000,Blood clot (morphologic abnormality)
75772009,T-12800,Bone structure of navicular (body structure)
75777003,F-CB250,Cytokine (substance)
75902001,T-43124,Structure of atrioventricular branch of circumflex branch of left coronary artery (body structure)
75911001,L-80751,Bearded collie (organism)
75956008,C-22967,Hematein stain (substance)
75958009,G-C020,Bounded by (attribute)
75959001,C-781E0,Tamoxifen (product)
75976002,G-4041,Mild risk of (contextual qualifier) (qualifier value)
76001002,C-22916,Pyronine B stain (substance)
76015000,T-46420,Hepatic artery (body structure)
76025005,P1-31876,Correction of ventricular septal defect (procedure)
76048000,C-22929,Azocarmine G (GX) stain (substance)
76072005,T-02306,Skin structure of supraclavicular region of neck (body structure)
76117006,T-45430,Structure of central retinal artery (body structure)
76155001,C-B0328,Iopanoic acid (product)
76171001,F-20240,Air trapping (finding)
76197007,M-72000,Hyperplasia (morphologic abnormality)
76261009,T-02420,Skin structure of axilla (body structure)
76267008,D3-29050,Pulmonary valve disorder (disorder)
76290003,T-C4633,Structure of superior gluteal lymph node (body structure)
76302002,L-80456,Spanish mustang horse (organism)
76351004,L-80914,Whippet dog (organism)
76364003,L-80521,Boar power pig 27 (organism)
76365002,T-04004,Structure of upper outer quadrant of breast (body structure)
76388001,F-38277,ST segment elevation (finding)
76439002,C-22859,Fat red 7B stain (substance)
76467006,L-80454,Quarter horse (organism)
76497003,L-80132,Gelbveih cattle breed (organism)
76505004,T-D8810,Thumb structure (body structure)
76554006,L-80717,Belgian laeken dog (organism)
76604009,L-80153,Nellore cattle breed (organism)
76605005,C-22866,Biebrich scarlet stain (substance)
76611008,P1-30352,Atherectomy by laser (procedure)
76633005,C-22875,Fast red TR salt stain (substance)
76649007,D7-90382,Sebaceous cyst of skin of breast (disorder)
76659008,T-C4475,Structure of pancreaticoduodenal lymph node (body structure)
76704003,T-C4842,Superior lateral inguinal lymph node (body structure)
76710003,T-AA650,Structure of external limiting membrane of retina (body structure)
76723005,T-02525,Skin structure of prepuce of clitoris (body structure)
76724004,L-807C3,Harrier dog (organism)
76752008,T-04000,Breast structure (body structure)
76784001,T-82000,Vaginal structure (body structure)
76838003,T-C4220,Structure of supraclavicular lymph node (body structure)
76848001,T-39000,Pericardial structure (body structure)
76862008,T-43105,Structure of ostium of left coronary artery (body structure)
76878005,T-C4456,Structure of lymph node of greater curvature of stomach (body structure)
76909002,M-92603,Ewing's sarcoma (morphologic abnormality)
76925007,C-22903,Alkali blue 5B (4B) stain (substance)
76927004,P5-D7000,Radioisotope study of genitourinary system (procedure)
76994004,L-80808,Norwegian elkhound (organism)
77004003,C-111A1,^18^Fluorine (substance)
77012006,T-F1320,Amniotic fluid (substance)
77073008,C-22941,Nile blue stain (substance)
77130001,T-54430,Structure of mandibular left lateral incisor tooth (body structure)
77176002,S-32000,Smoker (finding)
77213006,L-80706,Afghan hound (organism)
77236002,L-80611,Large white pig (organism)
77296004,D7-90452,Infarction of breast (disorder)
77313009,C-B1223,Technetium Tc^99m^ exametazime (substance)
77343006,P5-009A0,Angiography (procedure)
77386006,F-84000,Patient currently pregnant (finding)
77444004,A-12024,"Bone pin, device (physical object)"
77477000,P5-08000,Computerized axial tomography (procedure)
77568009,T-D2100,"Back structure, excluding neck (body structure)"
77583004,T-35410,Structure of anulus fibrosus of aorta (body structure)
77621008,T-D1620,Structure of supraclavicular region of neck (body structure)
77671006,F-B1810,Antidiuretic hormone (substance)
77720000,A-12062,"Clip, device (physical object)"
77778009,T-C4474,Structure of pancreatic lymph node (body structure)
77831004,T-04002,Structure of upper inner quadrant of breast (body structure)
78014005,T-70060,Urine (substance)
78023008,C-158A5,^87m^Strontium (substance)
78067005,T-F1100,Placental structure (body structure)
78076003,T-AA700,Structure of lens of eye (body structure)
78197004,M-85012,"Comedocarcinoma, noninfiltrating (morphologic abnormality)"
78214003,L-807D6,Lakeland terrier (organism)
78246003,L-80804,Mexican hairless dog (organism)
78267003,D9-30400,Cocaine abuse (disorder)
78277001,T-A2500,Temporal lobe structure (body structure)
78421000,G-D103,Intramuscular route (qualifier value)
78480002,T-44200,Structure of right pulmonary artery (body structure)
78481003,C-B1108,Iofetamine I^123^ hydrochloride (substance)
